id,split,text,text_clean,label,label_name,n_words,n_chars,has_negation
train_000000,train,i didnt feel humiliated,i didnt feel humiliated,0,sadness,4,23,1
train_000001,train,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0,sadness,21,108,0
train_000002,train,im grabbing a minute to post i feel greedy wrong,im grabbing a minute to post i feel greedy wrong,3,anger,10,48,0
train_000003,train,i am ever feeling nostalgic about the fireplace i will know that it is still on the property,i am ever feeling nostalgic about the fireplace i will know that it is still on the property,2,love,18,92,0
train_000004,train,i am feeling grouchy,i am feeling grouchy,3,anger,4,20,0
train_000005,train,ive been feeling a little burdened lately wasnt sure why that was,ive been feeling a little burdened lately wasnt sure why that was,0,sadness,12,65,1
train_000006,train,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,5,surprise,23,122,0
train_000007,train,i feel as confused about life as a teenager or as jaded as a year old man,i feel as confused about life as a teenager or as jaded as a year old man,4,fear,17,73,0
train_000008,train,i have been with petronas for years i feel that petronas has performed well and made a huge profit,i have been with petronas for years i feel that petronas has performed well and made a huge profit,1,joy,19,98,0
train_000009,train,i feel romantic too,i feel romantic too,2,love,4,19,0
train_000010,train,i feel like i have to make the suffering i m seeing mean something,i feel like i have to make the suffering i m seeing mean something,0,sadness,14,66,0
train_000011,train,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,1,joy,21,108,0
train_000012,train,i think it s the easiest time of year to feel dissatisfied,i think it s the easiest time of year to feel dissatisfied,3,anger,12,58,0
train_000013,train,i feel low energy i m just thirsty,i feel low energy i m just thirsty,0,sadness,8,34,0
