label_name,rank_in_class,n_words,text
anger,1,62,i feel not offended in any form and should not make this big and in the end it doesnt bother me at all but ive learned to show some balls in the past and say what i think not anonymous so if we would give some weight to the content of these comments there would be the questions what is behind it
anger,2,59,i needed a plan on how to get rid of that feeling it was totally taking over everything i am totally distracted at work with everything i m trying to do in any free time i have in the evenings the projects are taking over my life and the fact that i totally feel burnt out by it all
anger,3,59,i want to tell him how i feel how disgusted i am that he can hurt my husband the way he does and then just laugh about it how he treats his grandchildren how he treated my husbands mum and just scream at him to stop being such a selfish bastard because the world does not revolve around him
fear,1,60,i was not going to be able to sleep until i knew how it ended and mostly because of another thing which i am not even going to talk about here because it makes me angry all over again and also because i feel horribly neurotic and immature getting upset about it and so we will gloss over that bit
fear,2,59,i know who all think this way so i ve always feel skeptical about painting my nails red since i also have light skin so the red is really going to stand out is there a cute way for a year old to wear red nails without looking like she s trying too hard or looking like a hooker
fear,3,59,i was to worried about them knowing if i was high or not and feeling a little paranoid and i have never never been that type of person that would think and care about what people think about me and would always focus on what i had to do to get to where i needed to get in life
joy,1,64,i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special
joy,2,64,i am happier this year in all ways i am just glad i am on english lit only i made good module choices i like my teachers the peeps in my class are not so snidey i feel more confident in my work and i am on top of it unlike last year when i was soooooooooooo behind to the point of doing zero
joy,3,64,i feel you i dont believ in you but i keep my faithful to you god gives me a chance to feel what is apathetic after it but much apathetic open up my mind that i can hide this feeling for you i know youre playing with me you show off your love like and maybe after it youll be gone will it happens
love,1,63,i confused my feelings with the truth because i liked the view when there was me and you i cant believe that i could be so blind its like you were floating when i was falling and i didnt mind because i like the view i thought you felt it too when there was me and you lyrics from a href http www
love,2,62,i like to add a slice of cheese and some pepper to the egg and when i am feeling naughty i like to add some chocolate chips to my trail mix another treat i am loving as a pregnant mom who often craves a sweet but doesn t want to overload on sugar or empty calories is zico coconut water in chocolate
love,3,58,i do not agree with hirsi ali on policy matters and i do agree with much of what ingrid writes by contrast but having grown up in a country for which i feel little love and with the culture of which i do not identify in the least i can t help but to be sympathetic to her
sadness,1,66,i guess which meant or so i assume no photos no words or no other way to convey what it really feels unless you feels it yourself or khi bi t au th m i bi t th ng ng i b au i rephrase it to a bit more gloomy context unless you are hurt yourself you will never have sympathy for the hurt ones
sadness,2,64,i feel in my bones like nobody cares if im here nobody cares if im gone here i am again saying im feeling so lonely people either say its ok to be alone or just go home it kills me and i dont know why it doesnt mean i dont try i try and try but people just treat me like im a ghost
sadness,3,61,i feel rotten all week because i hardly ever see you that s why i wrote this hopeless song i ve never been in love with a girl like you before darling come with me such a wonderful thing has never happened to me before you re the only one who touched my heart it s all a question of courage
surprise,1,61,i really want to watch it for the obvious romance reasons and i have a feeling like it would be a really funny kind of drama too i can also somewhat relate to the female main character who works with this boss who has a lot of pride and is a bit what you would like to call him as cocky
surprise,2,60,i haven t seen her since they broke up but now i m in this class and she is here waving at me so i go and sit next to her and get out my stuff and talk to her but i feel really strange about it because she cheated on my friend which i really should have mentioned before
surprise,3,57,i might go out of existance i smile pick up my pen and fill the page with the things that you say the thoughts you obtain the moments you refrain far away its cause youre going insane and suddenly im left afraid because im not feeling that way instead im amazed why you gotta be that way
